"","err_types","err_typesperc"
"a16-female-bicycle",0,0
"a16-female-bus",98,1.3
"a16-female-car",4,0.1
"a16-female-home",-5,-0.9
"a16-female-other",-2,-0.9
"a16-female-pass",-1,-0.1
"a16-female-train",0,0
"a16-female-walk",36,1
"a16-male-bicycle",-1,-0.1
"a16-male-bus",26,0.4
"a16-male-car",-45,-1.1
"a16-male-home",5,0.6
"a16-male-other",-6,-1.8
"a16-male-pass",0,0
"a16-male-train",-2,-0.2
"a16-male-walk",-107,-3
"a25-female-bicycle",1,0.1
"a25-female-bus",-30,-0.4
"a25-female-car",-123,-0.9
"a25-female-home",3,0.2
"a25-female-other",0,0
"a25-female-pass",4,0.3
"a25-female-train",3,0.2
"a25-female-walk",3,0.1
"a25-male-bicycle",-1,0
"a25-male-bus",-4,-0.1
"a25-male-car",45,0.3
"a25-male-home",-3,-0.1
"a25-male-other",24,3.7
"a25-male-pass",0,0
"a25-male-train",-9,-0.4
"a25-male-walk",87,1.5
"a35-female-bicycle",0,0
"a35-female-bus",-43,-0.7
"a35-female-car",-28,-0.2
"a35-female-home",2,0.1
"a35-female-other",-1,-0.2
"a35-female-pass",-2,-0.1
"a35-female-train",2,0.3
"a35-female-walk",-48,-1.2
"a35-male-bicycle",-1,0
"a35-male-bus",-13,-0.3
"a35-male-car",126,0.7
"a35-male-home",-2,-0.1
"a35-male-other",9,0.9
"a35-male-pass",2,0.2
"a35-male-train",-1,-0.1
"a35-male-walk",-2,-0.1
"a50-female-bicycle",0,0
"a50-female-bus",-25,-0.7
"a50-female-car",16,0.2
"a50-female-home",-5,-0.4
"a50-female-other",0,0
"a50-female-pass",-1,-0.1
"a50-female-train",5,2
"a50-female-walk",136,5.7
"a50-male-bicycle",-1,-0.1
"a50-male-bus",-8,-0.3
"a50-male-car",5,0
"a50-male-home",5,0.2
"a50-male-other",-24,-4.7
"a50-male-pass",-1,-0.2
"a50-male-train",0,0
"a50-male-walk",-102,-7.9
"a65-female-bicycle",0,0
"a65-female-bus",0,0
"a65-female-car",-1,-0.2
"a65-female-home",5,2.1
"a65-female-other",1,2.6
"a65-female-pass",-1,-0.7
"a65-female-train",-1,-2.6
"a65-female-walk",-2,-0.7
"a65-male-bicycle",3,5.6
"a65-male-bus",-1,-0.4
"a65-male-car",1,0.1
"a65-male-home",-5,-1.3
"a65-male-other",-1,-2.1
"a65-male-pass",0,0
"a65-male-train",3,8.3
"a65-male-walk",-1,-0.7
